Subescenario;1939;
Tipo;económicos;
PIB;8;
Población total;8;
Producción agrícola;8;
Producción industrial;12;
Tipo;militares;
Kilómetros de ferrocarril;8;
Soldados y marineros;11;
Reservistas;11;
Infraestructura desarrollada;true;
Tipo;navales;
Marina mercante;3;
Armada;5;
Potencia naval;true;
Tipo;fuerzas aéreas;
Pilotos;3;
Defensas anti-aéreas;3;
Cazas y bombarderos;5;
Subescenario;1940;
Tipo;económicos;
PIB;8;
Población total;8;
Producción agrícola;8;
Producción industrial;12;
Tipo;militares;
Kilómetros de ferrocarril;8;
Soldados y marineros;11;
Reservistas;11;
Infraestructura desarrollada;true;
Tipo;navales;
Marina mercante;3;
Armada;5;
Potencia naval;true;
Tipo;fuerzas aéreas;
Pilotos;3;
Defensas anti-aéreas;3;
Cazas y bombarderos;5;
Subescenario;1941;
Tipo;económicos;
PIB;8;
Población total;8;
Producción agrícola;8;
Producción industrial;12;
Tipo;militares;
Kilómetros de ferrocarril;8;
Soldados y marineros;11;
Reservistas;11;
Infraestructura desarrollada;true;
Tipo;navales;
Marina mercante;3;
Armada;5;
Potencia naval;true;
Tipo;fuerzas aéreas;
Pilotos;3;
Defensas anti-aéreas;3;
Cazas y bombarderos;5;
Subescenario;1942;
Tipo;económicos;
PIB;8;
Población total;8;
Producción agrícola;8;
Producción industrial;12;
Tipo;militares;
Kilómetros de ferrocarril;8;
Soldados y marineros;11;
Reservistas;11;
Infraestructura desarrollada;true;
Tipo;navales;
Marina mercante;3;
Armada;5;
Potencia naval;true;
Tipo;fuerzas aéreas;
Pilotos;3;
Defensas anti-aéreas;3;
Cazas y bombarderos;5;
Subescenario;1943;
Tipo;económicos;
PIB;8;
Población total;8;
Producción agrícola;8;
Producción industrial;12;
Tipo;militares;
Kilómetros de ferrocarril;8;
Soldados y marineros;11;
Reservistas;11;
Infraestructura desarrollada;true;
Tipo;navales;
Marina mercante;3;
Armada;5;
Potencia naval;true;
Tipo;fuerzas aéreas;
Pilotos;3;
Defensas anti-aéreas;3;
Cazas y bombarderos;5;
Subescenario;1944;
Tipo;económicos;
PIB;8;
Población total;8;
Producción agrícola;8;
Producción industrial;12;
Tipo;militares;
Kilómetros de ferrocarril;8;
Soldados y marineros;11;
Reservistas;11;
Infraestructura desarrollada;true;
Tipo;navales;
Marina mercante;3;
Armada;5;
Potencia naval;true;
Tipo;fuerzas aéreas;
Pilotos;3;
Defensas anti-aéreas;3;
Cazas y bombarderos;5;
Subescenario;1945;
Tipo;económicos;
PIB;8;
Población total;8;
Producción agrícola;8;
Producción industrial;12;
Tipo;militares;
Kilómetros de ferrocarril;8;
Soldados y marineros;11;
Reservistas;11;
Infraestructura desarrollada;true;
Tipo;navales;
Marina mercante;3;
Armada;5;
Potencia naval;true;
Tipo;fuerzas aéreas;
Pilotos;3;
Defensas anti-aéreas;3;
Cazas y bombarderos;5;